Copyright (c) James G. MacKinnon, 1999
ecmnc     1  1  6   20
-0.44831649E+01-0.17616219E+02-0.60059684E-01 0.33755149E-02
-0.15293138E+01 0.22602225E+01-0.41677146E-02 0.14829274E-03
-0.15174654E+01 0.22775201E+01-0.42488306E-02 0.14953999E-03
-0.15055291E+01 0.22934495E+01-0.43146911E-02 0.15052742E-03
-0.14934982E+01 0.23067909E+01-0.43302821E-02 0.15019765E-03
-0.14813993E+01 0.23227970E+01-0.43875336E-02 0.15134775E-03
-0.14691964E+01 0.23356053E+01-0.43976089E-02 0.15066001E-03
-0.14569371E+01 0.23518624E+01-0.44604817E-02 0.15025600E-03
-0.14445543E+01 0.23633618E+01-0.44318228E-02 0.14977441E-03
-0.14320622E+01 0.23763665E+01-0.44640982E-02 0.14974508E-03
-0.14194576E+01 0.23906226E+01-0.45062774E-02 0.15280192E-03
-0.14067870E+01 0.24043745E+01-0.45174774E-02 0.15266325E-03
