Copyright (c) James G. MacKinnon, 1999
ecmnc     6  6  7   25
-0.59363408E+01-0.30761520E+02-0.45350701E-01-0.59184858E-02 0.41072180E-02
-0.57743140E+01-0.27164512E+02-0.25087776E-01-0.56469050E-02 0.31574237E-02
-0.55480435E+01-0.22012713E+02-0.33313780E-01-0.23038532E-02 0.20641771E-02
-0.53681019E+01-0.18522885E+02-0.25663125E-01-0.17133806E-02 0.16307078E-02
-0.51766706E+01-0.15233120E+02-0.14509360E-01-0.15057168E-02 0.12156014E-02
-0.50573902E+01-0.13591476E+02-0.24181681E-02-0.19043901E-02 0.97861258E-03
-0.49709856E+01-0.12191364E+02-0.16712278E-02-0.16954120E-02 0.83771323E-03
-0.49023214E+01-0.11041417E+02-0.45322067E-02-0.12417762E-02 0.74553615E-03
-0.48444234E+01-0.10234570E+02-0.22738638E-02-0.12982613E-02 0.70603449E-03
-0.47947396E+01-0.95210590E+01-0.20425184E-02-0.12245755E-02 0.67162061E-03
-0.47507666E+01-0.89007311E+01-0.21181763E-02-0.10987871E-02 0.63778316E-03
-0.47114389E+01-0.83849504E+01-0.98118245E-03-0.11404112E-02 0.61246497E-03
-0.46757527E+01-0.79031113E+01-0.40124471E-03-0.11507459E-02 0.57812763E-03
-0.13152152E+01 0.92307357E+01-0.43062705E-01 0.11675028E-02 0.27444190E-03
-0.12893832E+01 0.92368461E+01-0.43270717E-01 0.11860688E-02 0.27850716E-03
-0.12626662E+01 0.92333189E+01-0.43358810E-01 0.11992569E-02 0.27795975E-03
-0.12351721E+01 0.92262796E+01-0.43329456E-01 0.12030527E-02 0.28108025E-03
-0.12067828E+01 0.92091068E+01-0.42807562E-01 0.11593485E-02 0.28488889E-03
-0.11775508E+01 0.92075271E+01-0.42915035E-01 0.11749434E-02 0.29111239E-03
-0.11472099E+01 0.91968936E+01-0.42812613E-01 0.11723998E-02 0.29964390E-03
-0.11156602E+01 0.91800038E+01-0.42566295E-01 0.11603844E-02 0.30702869E-03
-0.10829990E+01 0.91700504E+01-0.42436233E-01 0.11516122E-02 0.31070320E-03
-0.10487909E+01 0.91369230E+01-0.41795074E-01 0.11150913E-02 0.32021291E-03
-0.10131745E+01 0.91210209E+01-0.41646439E-01 0.11142183E-02 0.32456612E-03
-0.97583809E+00 0.90960353E+01-0.41015413E-01 0.10673773E-02 0.33050914E-03
-0.93664513E+00 0.90812118E+01-0.41039313E-01 0.10874921E-02 0.33354983E-03
-0.89516763E+00 0.90458016E+01-0.40516707E-01 0.10626080E-02 0.33964087E-03
-0.85132355E+00 0.90245032E+01-0.40329221E-01 0.10628723E-02 0.35189473E-03
-0.80458936E+00 0.90019479E+01-0.40010711E-01 0.10417841E-02 0.36298627E-03
-0.75432727E+00 0.89568548E+01-0.39457390E-01 0.10226608E-02 0.36423365E-03
-0.70018188E+00 0.89031627E+01-0.38619167E-01 0.98191345E-03 0.37818748E-03
-0.64143840E+00 0.88522259E+01-0.37867831E-01 0.94626661E-03 0.39927949E-03
-0.57722085E+00 0.88369412E+01-0.38636006E-01 0.10489133E-02 0.41800066E-03
-0.50521780E+00 0.87375196E+01-0.36890265E-01 0.96660230E-03 0.44079177E-03
-0.42429062E+00 0.86925761E+01-0.36902675E-01 0.10239930E-02 0.47159333E-03
-0.33061351E+00 0.85913672E+01-0.35245814E-01 0.95775155E-03 0.48828359E-03
-0.21845916E+00 0.84025059E+01-0.31787098E-01 0.77844822E-03 0.54106715E-03
-0.79179470E-01 0.82459482E+01-0.29352149E-01 0.71040676E-03 0.59785100E-03
 0.10997093E+00 0.79410018E+01-0.22673027E-01 0.39418330E-03 0.68603444E-03
 0.15805362E+00 0.78406764E+01-0.20187995E-01 0.25048178E-03 0.70568261E-03
 0.21105626E+00 0.77669047E+01-0.18829431E-01 0.21271212E-03 0.74406163E-03
 0.27013312E+00 0.77075953E+01-0.17276076E-01 0.14863830E-03 0.77996787E-03
 0.33721600E+00 0.76911872E+01-0.18037814E-01 0.32689009E-03 0.85647810E-03
 0.41559866E+00 0.76205246E+01-0.16811549E-01 0.34142350E-03 0.88032649E-03
 0.51039418E+00 0.74264113E+01-0.11080478E-01-0.17075070E-04 0.10055678E-02
 0.62897467E+00 0.73571793E+01-0.93554100E-02-0.57874995E-05 0.11543790E-02
 0.79108124E+00 0.73885892E+01-0.10812682E-01 0.34335727E-03 0.13516863E-02
 0.10556200E+01 0.72896317E+01-0.16320251E-02-0.68295747E-04 0.17711602E-02
 0.13102853E+01 0.71427127E+01 0.62444730E-02-0.35601004E-04 0.23261861E-02
 0.16178544E+01 0.80987721E+01-0.39924755E-03 0.84496892E-03 0.37040085E-02
 0.18400047E+01 0.91270733E+01-0.22319549E-01 0.33389141E-02 0.48842881E-02
ecmc      6  7  7   30
-0.62276830E+01-0.33566073E+02-0.56243695E-01-0.63578690E-02 0.47641537E-02
-0.60680881E+01-0.30123454E+02-0.11778277E-01-0.92860315E-02 0.34625950E-02
-0.58498144E+01-0.24477913E+02-0.28600299E-01-0.34020677E-02 0.21719773E-02
-0.56711999E+01-0.20398894E+02-0.38053475E-01-0.39195221E-03 0.15403511E-02
-0.54821991E+01-0.16868541E+02-0.24393030E-01-0.36199561E-03 0.11937679E-02
-0.53660599E+01-0.15032395E+02-0.75624768E-02-0.17912864E-02 0.99701110E-03
-0.52811833E+01-0.13518897E+02-0.55297276E-02-0.16986321E-02 0.84818404E-03
-0.52139558E+01-0.12331822E+02-0.67027401E-02-0.12384358E-02 0.78539092E-03
-0.51572804E+01-0.11360575E+02-0.76075609E-02-0.95786718E-03 0.71788964E-03
-0.51081379E+01-0.10622782E+02-0.57046538E-02-0.97695013E-03 0.66291561E-03
-0.50649136E+01-0.99743792E+01-0.50836408E-02-0.86053882E-03 0.62517264E-03
-0.50265967E+01-0.93293011E+01-0.64337748E-02-0.65864630E-03 0.61141189E-03
-0.49913572E+01-0.88170909E+01-0.55378720E-02-0.78288278E-03 0.58094486E-03
-0.48519422E+01-0.68719268E+01-0.28327697E-02-0.81439802E-03 0.51949993E-03
-0.47482557E+01-0.54600832E+01-0.27463840E-02-0.76341670E-03 0.47057898E-03
-0.46643370E+01-0.44093916E+01-0.16292177E-02-0.87868730E-03 0.43420203E-03
-0.45934057E+01-0.35867305E+01 0.15337266E-03-0.10389879E-02 0.42279233E-03
-0.45319093E+01-0.27936134E+01-0.29796856E-02-0.70271547E-03 0.39395726E-03
-0.44771589E+01-0.21177178E+01-0.53216097E-02-0.48713797E-03 0.39640154E-03
-0.44276617E+01-0.15535881E+01-0.60973894E-02-0.44429610E-03 0.37688477E-03
-0.43824338E+01-0.10490239E+01-0.66338928E-02-0.45549217E-03 0.37151298E-03
-0.43405162E+01-0.58308548E+00-0.77877304E-02-0.38214118E-03 0.35675394E-03
