Copyright (c) James G. MacKinnon, 1999
ecmnc     7  7  7   30
-0.17608965E+01 0.11454189E+02-0.62701682E-01 0.20663527E-02 0.24642322E-03
-0.17409539E+01 0.11478168E+02-0.63204252E-01 0.21023918E-02 0.24728215E-03
-0.17205200E+01 0.11494530E+02-0.63673737E-01 0.21542261E-02 0.25087114E-03
-0.16997411E+01 0.11518604E+02-0.64392596E-01 0.22231294E-02 0.25810255E-03
-0.16785925E+01 0.11528533E+02-0.64229103E-01 0.21882225E-02 0.26136675E-03
-0.16569856E+01 0.11543829E+02-0.64377558E-01 0.21857613E-02 0.26520264E-03
-0.16349034E+01 0.11556805E+02-0.64617807E-01 0.22035583E-02 0.27375397E-03
-0.16122668E+01 0.11552489E+02-0.64109809E-01 0.21461485E-02 0.27586389E-03
-0.15891617E+01 0.11560130E+02-0.64147921E-01 0.21494093E-02 0.27683298E-03
-0.15654707E+01 0.11575310E+02-0.64769641E-01 0.22237964E-02 0.27674038E-03
-0.15410647E+01 0.11570878E+02-0.64657417E-01 0.22261771E-02 0.27677508E-03
-0.15160940E+01 0.11571261E+02-0.64563917E-01 0.22158606E-02 0.27572802E-03
-0.14904560E+01 0.11566967E+02-0.64167823E-01 0.21708023E-02 0.27603854E-03
-0.14640168E+01 0.11553121E+02-0.63486010E-01 0.21054152E-02 0.27756155E-03
-0.14369009E+01 0.11553672E+02-0.63315379E-01 0.20825510E-02 0.29094598E-03
-0.14087915E+01 0.11549335E+02-0.63330654E-01 0.20928317E-02 0.29948866E-03
-0.13797951E+01 0.11549783E+02-0.63443613E-01 0.21003445E-02 0.29948640E-03
-0.13497259E+01 0.11544097E+02-0.63534441E-01 0.21232834E-02 0.30371741E-03
-0.13185859E+01 0.11536444E+02-0.63218668E-01 0.20770955E-02 0.30764006E-03
-0.12862393E+01 0.11533254E+02-0.63187579E-01 0.20696596E-02 0.30794607E-03
-0.12524534E+01 0.11510953E+02-0.62354716E-01 0.19754422E-02 0.30915553E-03
-0.12171721E+01 0.11490476E+02-0.61836256E-01 0.19257010E-02 0.31446587E-03
-0.11802125E+01 0.11482452E+02-0.61941389E-01 0.19432783E-02 0.32081254E-03
-0.11413872E+01 0.11452855E+02-0.61167301E-01 0.18824592E-02 0.33431487E-03
-0.11003516E+01 0.11406669E+02-0.60012106E-01 0.17987359E-02 0.34671799E-03
-0.10567890E+01 0.11371091E+02-0.59642551E-01 0.18110254E-02 0.35869538E-03
-0.10104835E+01 0.11321548E+02-0.58670355E-01 0.17637128E-02 0.37306912E-03
-0.96109514E+00 0.11308103E+02-0.58698753E-01 0.17772050E-02 0.39042177E-03
-0.90771224E+00 0.11257498E+02-0.57924952E-01 0.17480406E-02 0.39716908E-03
-0.84959010E+00 0.11198373E+02-0.56861024E-01 0.16802951E-02 0.40652831E-03
-0.78587916E+00 0.11154697E+02-0.57191772E-01 0.17987541E-02 0.42028599E-03
-0.71518648E+00 0.11118923E+02-0.57712926E-01 0.19161657E-02 0.44442831E-03
-0.63483198E+00 0.11030972E+02-0.57057836E-01 0.19695826E-02 0.47751082E-03
-0.54234313E+00 0.10926591E+02-0.55646869E-01 0.19529730E-02 0.50398201E-03
-0.43194999E+00 0.10828192E+02-0.55570218E-01 0.21035367E-02 0.57223674E-03
-0.29397023E+00 0.10641984E+02-0.52949223E-01 0.20965268E-02 0.64174609E-03
-0.10819245E+00 0.10522244E+02-0.52015653E-01 0.22077449E-02 0.73496374E-03
-0.61069941E-01 0.10488764E+02-0.51778668E-01 0.21968952E-02 0.78144531E-03
-0.90326583E-02 0.10442275E+02-0.51469812E-01 0.22715669E-02 0.81305009E-03
 0.49313763E-01 0.10381547E+02-0.50069489E-01 0.21934050E-02 0.86554353E-03
